Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2010-09-03,1.2891,0.8336,108.77
2010-09-06,1.2872,0.8356,108.37
2010-09-07,1.2698,0.8258,106.4
2010-09-08,1.2712,0.8218,106.66
2010-09-09,1.2703,0.8225,106.59
2010-09-10,1.2707,0.8276,106.95
2010-09-13,1.2872,0.8348,107.63
2010-09-14,1.3011,0.836,108.11
2010-09-15,1.3012,0.833,111.35
2010-09-16,1.3083,0.8367,112.2
2010-09-17,1.3042,0.8344,111.88
2010-09-20,1.3064,0.84,112.02
2010-09-21,1.3242,0.8478,112.72
2010-09-22,1.3393,0.8547,113.19
2010-09-23,1.3314,0.8488,112.26
2010-09-24,1.3484,0.8521,113.68
2010-09-27,1.3472,0.8496,113.41
2010-09-28,1.3583,0.8596,113.98
2010-09-29,1.3627,0.8634,113.99
2010-09-30,1.3632,0.8676,113.83
2010-10-01,1.3778,0.87,114.75
2010-10-04,1.3683,0.8643,114.13
2010-10-05,1.383,0.8703,115.07
2010-10-06,1.3935,0.8772,115.52
2010-10-07,1.3917,0.8768,114.64
2010-10-08,1.3922,0.8728,114.26
2010-10-11,1.3875,0.8741,113.91
2010-10-12,1.3914,0.881,113.86
2010-10-13,1.3962,0.8783,114.15
2010-10-14,1.4076,0.8793,114.72
2010-10-15,1.3969,0.8737,113.75
2010-10-18,1.3986,0.8779,113.56
2010-10-19,1.3728,0.8745,111.94
2010-10-20,1.3956,0.8811,113.24
2010-10-21,1.3923,0.8864,113.24
2010-10-22,1.3934,0.8887,113.34
2010-10-25,1.3979,0.8879,112.92
2010-10-26,1.3848,0.8741,112.83
2010-10-27,1.3764,0.8729,112.41
2010-10-28,1.3931,0.8738,112.85
2010-10-29,1.3908,0.8676,111.93
2010-11-01,1.3879,0.8657,111.85
2010-11-02,1.4027,0.8755,113.17
2010-11-03,1.4132,0.8781,114.62
2010-11-04,1.4206,0.872,114.57
2010-11-05,1.4035,0.8671,114.13
2010-11-08,1.3918,0.8625,112.96
2010-11-09,1.3775,0.8621,112.84
2010-11-10,1.378,0.8546,113.35
2010-11-11,1.3658,0.8479,112.61
2010-11-12,1.3699,0.8486,112.91
2010-11-15,1.3564,0.8455,112.9
2010-11-16,1.3488,0.8492,11236
2010-11-17,1.3518,0.8502,112.62
2010-11-18,1.363,0.8497,113.81
2010-11-19,1.3685,0.8558,114.21
2010-11-22,1.3624,0.8536,113.46
2010-11-23,1.3375,0.8477,111.19
